"Sr No
(link to coverage)",Test Written,Coverpoint Written,,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Normative Rules,Notes,Spec,,,,
cp_custom_vext4_overlapping_vd_vs2_lmul8,,,,"Confirm that with zero and sign extending instructions ending in ""f4,"" when the vs2 overlaps the top quarter of the vd register group the operation is legal","Conduct a widening operation with lmul=4, vs2 overlapping the top quarter of the vd register group (if lmul is 4 and vd = v0 then vs2 must be v3 for vzext.vf4).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,EEW; EEW_SEW_LMUL_dep; EMUL; EMUL_SEW_LMUL_dep; vreg_overlap_legal; vsext_op; vsext_vd_eew_emul; vsext_vs_eew_emul; vzext_op; vzext_vd_eew_emul; vzext_vs_eew_emul,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
All vzext and vsext instructions ending in f8,,,,,,,,,,,,,,,,
cp_custom_vext8_overlapping_vd_vs2_lmul8,,,,"Confirm that with zero and sign extending instructions ending in ""f8,"" when the vs2 overlaps the top eighth of the vd register group the operation is legal","Conduct a widening operation with lmul=8, vs2 overlapping the top eigth of the vd register group (if lmul is 8 and vd = v0 then vs2 must be v7 for vzext.vf8).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,EEW; EEW_SEW_LMUL_dep; EMUL; EMUL_SEW_LMUL_dep; vreg_lmulge2_op; vreg_overlap_legal; vsext_op; vsext_vd_eew_emul; vsext_vs_eew_emul; vzext_op; vzext_vd_eew_emul; vzext_vs_eew_emul,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
All widening instructions except reduction ,,,,,,,,,,,,,,,,
cp_custom_vdOverlapTopVs1_vd_vs1_lmul1,,,,Confirm that vs1 overlapping the top half of vd is legal,"Conduct an operation with lmul=1, vs1 overlapping the top half of the vd register group (if lmul is 1 and vd = v0 then vs1 must be v1).

The vd and vs1 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,vreg_overlap_legal; vwop_vd_eew_emul,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_vdOverlapTopVs1_vd_vs1_lmul2,,,,Confirm that vs1 overlapping the top half of vd is legal,"Conduct an operation with lmul=2, vs1 overlapping the top half of the vd register group (if lmul is 2 and vd = v0 then vs1 must be v2).

The vd and vs1 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,vreg_overlap_legal; vreg_overlap_rsv,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_vdOverlapTopVs1_vd_vs1_lmul4,,,,Confirm that vs1 overlapping the top half of vd is legal,"Conduct an operation with lmul=4, vs1 overlapping the top half of the vd register group (if lmul is 4 and vd = v0 then vs1 must be v4).

The vd and vs1 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,vreg_lmulge2_op; vreg_overlap_legal,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_vdOverlapTopVs2_vd_vs2_lmul1,,,,Confirm that with vs2 overlapping the top half of vd is legal,"Conduct an operation with lmul=1, vs2 overlapping the top half of the vd register group (if lmul is 1 and vd = v0 then vs2 must be v1).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,vreg_lmul1_op; vreg_overlap_legal,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_vdOverlapTopVs2_vd_vs2_lmul2,,,,Confirm that with vs2 overlapping the top half of vd is legal,"Conduct an operation with lmul=2, vs2 overlapping the top half of the vd register group (if lmul is 2 and vd = v0 then vs2 must be v2).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,vreg_overlap_legal; vreg_overlap_rsv,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_vdOverlapTopVs2_vd_vs2_lmul4,,,,Confirm that with vs2 overlapping the top half of vd is legal,"Conduct an operation with lmul=4, vs2 overlapping the top half of the vd register group (if lmul is 4 and vd = v0 then vs2 must be v4).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,EMUL; vreg_lmulge2_op; vreg_overlap_legal; vreg_overlap_rsv,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
Single widening .vv instruction,,,,,,,,,,,,,,,,
cp_custom_allVdOverlapTopVs1_vd_vs1_lmul1,,,,Confirm that vs1 overlapping the top half of vd is legal with all legal vd registers,"Conduct an operation with lmul=1, vs1 overlapping the top half of the vd register group (if lmul is 1 and vd = v0 then vs1 must be v1). Execute with vd = {0,2,4,8..30}

The vd and vs1 registers must overlap in this manner to be legal",We expect this insturction not to trap,32,,,vreg_overlap_legal,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_allVdOverlapTopVs1_vd_vs1_lmul2,,,,Confirm that vs1 overlapping the top half of vd is legal with all legal vd registers,"Conduct an operation with lmul=2, vs1 overlapping the top half of the vd register group (if lmul is 2 and vd = v0 then vs1 must be v2). Execute with vd = {0,4,8,...28}

The vd and vs1 registers must overlap in this manner to be legal",We expect this insturction not to trap,32,,,vreg_offgroup_LMUL2_rsv; vreg_overlap_legal; vreg_overlap_rsv,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
